player,matches_2plus_overs,total_wickets,total_balls,total_runs,bowling_avg,economy,wickets_per_match,milestone_100_wickets,bowling_elo
A Nortje,127,193,2959,3802,19.699481865284973,7.70936127069956,1.5196850393700787,True,1666.7864286179956
AJ Tye,175,276,4055,5508,19.956521739130434,8.149938347718866,1.5771428571428572,True,1664.8550999013703
Arshdeep Singh,168,251,3800,5166,20.58167330677291,8.156842105263157,1.494047619047619,True,1685.2966927788589
DJ Bravo,384,520,8484,11474,22.065384615384616,8.114568599717115,1.3541666666666667,True,1724.982698542651
HV Patel,160,235,3601,5089,21.65531914893617,8.479311302415995,1.46875,True,1646.0361804458894
Haris Rauf,186,276,4265,5970,21.630434782608695,8.398593200468932,1.4838709677419355,True,1690.4811517789774
Imran Tahir,233,346,5388,6213,17.95664739884393,6.918708240534521,1.4849785407725322,True,1770.1164897756007
JJ Bumrah,236,330,5558,6360,19.272727272727273,6.865779057214826,1.3983050847457628,True,1685.403474347794
K Rabada,192,265,4432,6035,22.77358490566038,8.170126353790614,1.3802083333333333,True,1648.5255821397013
PWH de Silva,128,215,2892,3548,16.50232558139535,7.360995850622406,1.6796875,True,1738.0512055780475
Rashid Khan,280,366,6694,7577,20.702185792349727,6.791455034359127,1.3071428571428572,True,1723.0442635142654
S Lamichhane,139,221,3216,3623,16.39366515837104,6.759328358208955,1.589928057553957,True,1736.4520425459789
SL Malinga,222,337,5292,6168,18.3026706231454,6.993197278911564,1.518018018018018,True,1755.073218222547
SP Narine,376,438,8957,9338,21.319634703196346,6.255219381489338,1.1648936170212767,True,1657.3046319372643
Shaheen Shah Afridi,175,262,4110,5280,20.15267175572519,7.708029197080292,1.497142857142857,True,1652.1192146600404
